,Episode End Value,action,Nepse Data,Stock price,Normal Investor 
460,12587.7763954493,1,1277.74,572.10105204367,8582.77122551606
461,12587.7763954493,1,1267.18,578.817286379294,8683.52947896394
462,12587.7763954493,2,1256.71,578.817286379294,8683.52947896394
463,12681.803676148,0,1238.67,569.04821825475,8536.97201940339
464,12681.803676148,2,1241.36,573.322185559238,8601.09090796113
465,12654.9387388055,0,1230.6,570.879918528102,8564.45154307099
466,12654.9387388055,2,1227.37,569.658785012534,8546.13186062592
467,12628.073801463,0,1214.36,569.04821825475,8536.97201940339
468,12628.073801463,2,1220.52,567.827084739181,8518.6523369583
469,12735.533550833,0,1217.93,567.827084739181,8518.6523369583
470,12735.533550833,2,1218.33,572.711618801454,8591.9310667386
471,12829.5608315318,2,1228.28,567.827084739181,8518.6523369583
