,"Episode End Value","action","Nepse Data","Stock price","Date","Normal Investor"
325,16667.2294814816,2,1423.83,439.826592592593,"2018-01-04",16402.6402640251
326,16869.0010370371,0,1431.8,437.171703703704,"2018-01-07",16303.630363035
327,16869.0010370371,2,1443.8,442.481481481481,"2018-01-08",16501.6501650151
328,16639.7956296297,0,1456.07,445.13637037037,"2018-01-09",16600.6600660052
329,16639.7956296297,2,1440.29,438.94162962963,"2018-01-10",16369.636963695
330,16639.7956296297,2,1431.1,438.056666666667,"2018-01-14",16336.633663365
331,16508.8211111112,2,1413.71,438.056666666667,"2018-01-16",16336.633663365
332,16541.5647407408,2,1406.52,434.516814814815,"2018-01-17",16204.6204620449
333,16508.8211111112,2,1402.67,435.401777777778,"2018-01-21",16237.6237623749
334,16508.8211111112,2,1402.09,434.516814814815,"2018-01-22",16204.6204620449
335,16476.0774814816,2,1393.04,434.516814814815,"2018-01-23",16204.6204620449
336,16574.3083703704,2,1394.73,433.631851851852,"2018-01-24",16171.6171617148
337,16738.0265185186,2,1404.53,436.286740740741,"2018-01-25",16270.6270627049
338,16803.5137777778,2,1405.95,440.711555555556,"2018-01-28",16435.6435643551
339,16869.0010370371,2,1402.23,442.481481481481,"2018-01-29",16501.6501650151
340,16934.4882962963,2,1404.49,444.251407407407,"2018-01-31",16567.6567656752
341,17032.7191851852,2,1411.52,446.021333333333,"2018-02-01",16633.6633663352
342,17032.7191851852,2,1410.51,448.676222222222,"2018-02-04",16732.6732673253
343,16934.4882962963,2,1400.05,448.676222222222,"2018-02-05",16732.6732673253
344,16803.5137777778,2,1394.03,446.021333333333,"2018-02-06",16633.6633663352
345,16934.4882962963,2,1382.02,442.481481481481,"2018-02-07",16501.6501650151
346,17032.7191851852,2,1391.03,446.021333333333,"2018-02-08",16633.6633663352
347,16934.4882962963,1,1384.71,448.676222222222,"2018-02-11",16732.6732673253
348,17032.7191851852,2,1380.29,446.021333333333,"2018-02-12",16633.6633663352
349,17294.6682222223,2,1388.94,448.676222222222,"2018-02-14",16732.6732673253
350,17392.8991111112,2,1424.95,455.755925925926,"2018-02-15",16996.6996699656
351,17261.9245925927,2,1413.9,458.410814814815,"2018-02-18",17095.7095709557
352,17098.2064444445,2,1396.72,454.870962962963,"2018-02-20",16963.6963696356
353,17032.7191851852,2,1387.08,450.446148148148,"2018-02-21",16798.6798679854
354,16999.9755555556,2,1386.98,448.676222222222,"2018-02-22",16732.6732673253
355,16934.4882962963,2,1374.73,447.791259259259,"2018-02-25",16699.6699669953
356,17098.2064444445,2,1358.95,446.021333333333,"2018-02-26",16633.6633663352
357,16934.4882962963,2,1364.81,450.446148148148,"2018-02-27",16798.6798679854
358,16508.8211111112,2,1345.99,446.021333333333,"2018-02-28",16633.6633663352
359,16508.8211111112,2,1304.43,434.516814814815,"2018-03-04",16204.6204620449
360,16836.2574074075,2,1287.74,434.516814814815,"2018-03-05",16204.6204620449
361,17065.4628148149,2,1296.44,443.366444444444,"2018-03-06",16534.6534653451
362,16770.7701481482,2,1315.13,449.561185185185,"2018-03-07",16765.6765676554
363,16541.5647407408,2,1284.09,441.596518518519,"2018-03-11",16468.6468646851
364,16672.5392592593,2,1277.01,435.401777777778,"2018-03-12",16237.6237623749
